pr, Year,Month, Country, ISO3
15.5629,1991,1, Bangladesh, BGD
28.323,1991,2, Bangladesh, BGD
41.9833,1991,3, Bangladesh, BGD
195.31,1991,4, Bangladesh, BGD
355.596,1991,5, Bangladesh, BGD
411.503,1991,6, Bangladesh, BGD
412.073,1991,7, Bangladesh, BGD
404.229,1991,8, Bangladesh, BGD
514.93,1991,9, Bangladesh, BGD
263.402,1991,10, Bangladesh, BGD
21.6794,1991,11, Bangladesh, BGD
28.904,1991,12, Bangladesh, BGD
6.15095,1992,1, Bangladesh, BGD
50.8807,1992,2, Bangladesh, BGD
9.63505,1992,3, Bangladesh, BGD
38.8075,1992,4, Bangladesh, BGD
207.565,1992,5, Bangladesh, BGD
273.337,1992,6, Bangladesh, BGD
462.745,1992,7, Bangladesh, BGD
318.474,1992,8, Bangladesh, BGD
272.882,1992,9, Bangladesh, BGD
135.043,1992,10, Bangladesh, BGD
6.02325,1992,11, Bangladesh, BGD
2.99477,1992,12, Bangladesh, BGD
9.06548,1993,1, Bangladesh, BGD
47.1214,1993,2, Bangladesh, BGD
87.7526,1993,3, Bangladesh, BGD
135.085,1993,4, Bangladesh, BGD
404.466,1993,5, Bangladesh, BGD
519.834,1993,6, Bangladesh, BGD
484.528,1993,7, Bangladesh, BGD
458.954,1993,8, Bangladesh, BGD
356.76,1993,9, Bangladesh, BGD
143.515,1993,10, Bangladesh, BGD
18.7967,1993,11, Bangladesh, BGD
0.01082,1993,12, Bangladesh, BGD
13.981,1994,1, Bangladesh, BGD
27.5964,1994,2, Bangladesh, BGD
89.831,1994,3, Bangladesh, BGD
164.774,1994,4, Bangladesh, BGD
204.148,1994,5, Bangladesh, BGD
373.326,1994,6, Bangladesh, BGD
317.352,1994,7, Bangladesh, BGD
361.903,1994,8, Bangladesh, BGD
166.025,1994,9, Bangladesh, BGD
91.0517,1994,10, Bangladesh, BGD
9.18975,1994,11, Bangladesh, BGD
0.14889,1994,12, Bangladesh, BGD
9.51787,1995,1, Bangladesh, BGD
29.6508,1995,2, Bangladesh, BGD
21.9067,1995,3, Bangladesh, BGD
53.7673,1995,4, Bangladesh, BGD
212.226,1995,5, Bangladesh, BGD
410.046,1995,6, Bangladesh, BGD
585.233,1995,7, Bangladesh, BGD
494.813,1995,8, Bangladesh, BGD
371.108,1995,9, Bangladesh, BGD
79.6197,1995,10, Bangladesh, BGD
140.99,1995,11, Bangladesh, BGD
1.21624,1995,12, Bangladesh, BGD
7.05748,1996,1, Bangladesh, BGD
22.9102,1996,2, Bangladesh, BGD
52.8844,1996,3, Bangladesh, BGD
166.541,1996,4, Bangladesh, BGD
232.497,1996,5, Bangladesh, BGD
397.807,1996,6, Bangladesh, BGD
436.68,1996,7, Bangladesh, BGD
386.234,1996,8, Bangladesh, BGD
258.422,1996,9, Bangladesh, BGD
263.608,1996,10, Bangladesh, BGD
6.52539,1996,11, Bangladesh, BGD
0.41104,1996,12, Bangladesh, BGD
9.95175,1997,1, Bangladesh, BGD
21.4791,1997,2, Bangladesh, BGD
69.1094,1997,3, Bangladesh, BGD
148.762,1997,4, Bangladesh, BGD
205.94,1997,5, Bangladesh, BGD
438.014,1997,6, Bangladesh, BGD
525.725,1997,7, Bangladesh, BGD
381.913,1997,8, Bangladesh, BGD
398.26,1997,9, Bangladesh, BGD
45.9865,1997,10, Bangladesh, BGD
11.493,1997,11, Bangladesh, BGD
31.8516,1997,12, Bangladesh, BGD
19.5979,1998,1, Bangladesh, BGD
33.4868,1998,2, Bangladesh, BGD
104.975,1998,3, Bangladesh, BGD
191.096,1998,4, Bangladesh, BGD
228.972,1998,5, Bangladesh, BGD
368.339,1998,6, Bangladesh, BGD
651.001,1998,7, Bangladesh, BGD
468.56,1998,8, Bangladesh, BGD
274.832,1998,9, Bangladesh, BGD
174.975,1998,10, Bangladesh, BGD
102.414,1998,11, Bangladesh, BGD
0.02981,1998,12, Bangladesh, BGD
0.3407,1999,1, Bangladesh, BGD
0.10675,1999,2, Bangladesh, BGD
5.22216,1999,3, Bangladesh, BGD
50.6288,1999,4, Bangladesh, BGD
322.274,1999,5, Bangladesh, BGD
338.123,1999,6, Bangladesh, BGD
800.869,1999,7, Bangladesh, BGD
453.255,1999,8, Bangladesh, BGD
340.816,1999,9, Bangladesh, BGD
272.28,1999,10, Bangladesh, BGD
12.5447,1999,11, Bangladesh, BGD
5.91518,1999,12, Bangladesh, BGD
20.0385,2000,1, Bangladesh, BGD
26.8679,2000,2, Bangladesh, BGD
76.7595,2000,3, Bangladesh, BGD
202.779,2000,4, Bangladesh, BGD
439.359,2000,5, Bangladesh, BGD
366.512,2000,6, Bangladesh, BGD
356.645,2000,7, Bangladesh, BGD
