tas, Year,Month, Country, ISO3
17.4518,1991,1, Bangladesh, BGD
21.7874,1991,2, Bangladesh, BGD
25.9068,1991,3, Bangladesh, BGD
27.3361,1991,4, Bangladesh, BGD
27.5258,1991,5, Bangladesh, BGD
27.6036,1991,6, Bangladesh, BGD
28.1626,1991,7, Bangladesh, BGD
28.0767,1991,8, Bangladesh, BGD
27.4425,1991,9, Bangladesh, BGD
26.5558,1991,10, Bangladesh, BGD
22.5562,1991,11, Bangladesh, BGD
18.5561,1991,12, Bangladesh, BGD
17.4191,1992,1, Bangladesh, BGD
19.3065,1992,2, Bangladesh, BGD
25.1958,1992,3, Bangladesh, BGD
28.3228,1992,4, Bangladesh, BGD
27.3386,1992,5, Bangladesh, BGD
28.3549,1992,6, Bangladesh, BGD
27.6078,1992,7, Bangladesh, BGD
28.0492,1992,8, Bangladesh, BGD
27.7278,1992,9, Bangladesh, BGD
26.5026,1992,10, Bangladesh, BGD
23.0168,1992,11, Bangladesh, BGD
18.2444,1992,12, Bangladesh, BGD
18.1609,1993,1, Bangladesh, BGD
21.0757,1993,2, Bangladesh, BGD
23.4808,1993,3, Bangladesh, BGD
26.4466,1993,4, Bangladesh, BGD
27.0991,1993,5, Bangladesh, BGD
27.6713,1993,6, Bangladesh, BGD
27.8916,1993,7, Bangladesh, BGD
27.867,1993,8, Bangladesh, BGD
27.4283,1993,9, Bangladesh, BGD
26.6738,1993,10, Bangladesh, BGD
23.2391,1993,11, Bangladesh, BGD
19.9446,1993,12, Bangladesh, BGD
18.7418,1994,1, Bangladesh, BGD
19.7401,1994,2, Bangladesh, BGD
25.03,1994,3, Bangladesh, BGD
27.1263,1994,4, Bangladesh, BGD
28.5911,1994,5, Bangladesh, BGD
28.0515,1994,6, Bangladesh, BGD
28.3919,1994,7, Bangladesh, BGD
28.3,1994,8, Bangladesh, BGD
28.3021,1994,9, Bangladesh, BGD
26.7137,1994,10, Bangladesh, BGD
23.1254,1994,11, Bangladesh, BGD
19.0129,1994,12, Bangladesh, BGD
17.7492,1995,1, Bangladesh, BGD
20.8723,1995,2, Bangladesh, BGD
25.2876,1995,3, Bangladesh, BGD
28.5657,1995,4, Bangladesh, BGD
29.2967,1995,5, Bangladesh, BGD
28.8511,1995,6, Bangladesh, BGD
27.984,1995,7, Bangladesh, BGD
28.1941,1995,8, Bangladesh, BGD
